address,category,id,lat,lng,location,name,subCategory,details,reviews
,poi,31260,52.35687114,4.796273198,Amsterdam,Kruising (Wolbrantskerkweg - Tussenmeer),Road,http://tour-pedia.org/api/getPlaceDetails?id=31260,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31260
,poi,31264,52.3555,4.796847,Amsterdam,Ekingensrraat Amsterdam,Road,http://tour-pedia.org/api/getPlaceDetails?id=31264,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31264
M Hanenbergstraat 17,poi,31266,52.359396,4.802319,Amsterdam,Surinam Airways HQ,Travel Lounge,http://tour-pedia.org/api/getPlaceDetails?id=31266,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31266
,poi,31268,52.35976028,4.798015118,Amsterdam,the Love Taxi aka Naughty Racer,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=31268,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31268
,poi,31270,52.35851663,4.799667889,Amsterdam,Bushalte Hoekenes,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31270,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31270
,poi,31273,52.35857762,4.802450667,Amsterdam,Nachtbus 353 naar Centraal Station,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31273,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31273
,poi,31274,52.352541,4.802444,Amsterdam,Tramhalte Hoekenes,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31274,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31274
Jan van Zutphenstraat,poi,31276,52.34932993,4.800574252,Amsterdam,Bushalte Jan van Zutphenplantsoen,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31276,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31276
Kortrijk,poi,31279,52.3446618,4.801022498,Amsterdam,Bushalte Kortrijk,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31279,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31279
,poi,31280,52.343239,4.797512,Amsterdam,Bushalte Osdorperweg,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31280,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31280
,poi,31281,52.341862,4.793646,Amsterdam,Bushalte Langsom,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31281,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31281
