category,id,lat,lng,location,name,subCategory,reviews,Cost
accommodation,4789,41.6933992,12.47970196,Rome,Hotel Selene,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4789,138
accommodation,4998,41.83119876,12.57372736,Rome,Hotel il Piccolo Borgo,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4998,119
accommodation,5079,41.798022,12.39116,Rome,Marriot Rome Park,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5079,111
accommodation,5086,41.81715266,12.57626602,Rome,Hotel Piccolo Borgo,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5086,159
accommodation,5091,41.921897,12.463695,Rome,Annetta,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5091,164
accommodation,5209,41.86874905,12.41188488,Rome,Waytostay,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5209,165
accommodation,5210,41.87071,12.44837,Rome,Waytostay,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5210,198
accommodation,5211,41.9112,12.44129,Rome,Waytostay,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5211,153
accommodation,5212,41.9126,12.4533,Rome,Waytostay,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5212,139
accommodation,5290,41.861291,12.604045,Rome,Alba hotel,Motel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5290,197
accommodation,5487,41.79777574,12.58900166,Rome,ADR - Parcheggi Ciampino,Parking,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5487,143
accommodation,5554,41.944564,12.532676,Rome,"Collegio ""I Gigli della Montagna""",Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5554,190
accommodation,5616,41.91413398,12.52083733,Rome,Hotel Laura Piazza Bologna . Roma,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5616,147
accommodation,5706,41.922271,12.493555,Rome,Hotel Claridge,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5706,106
accommodation,5763,41.840417,12.463259,Rome,Scuola Dei Campioni,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5763,103
accommodation,5791,41.898857,12.429462,Rome,Apartment Close To Vatican,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5791,155
accommodation,5821,41.89525475,12.41902574,Rome,Villa Maria Pia,Motel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5821,149
accommodation,6026,41.81924977,12.40478925,Rome,Q8,Gas Station  Garage,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6026,113
accommodation,6212,41.91091038,12.53593427,Rome,B&B Spqr,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6212,118
accommodation,6528,41.904789,12.504281,Rome,Hotel Continentale @ Rome,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6528,100
accommodation,6927,41.935297,12.58459,Rome,Peter Pan Hostel,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6927,182
accommodation,7030,41.8362575,12.48485357,Rome,Casa San Bernardo,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7030,169
accommodation,7493,41.89296998,12.51269869,Rome,Hotel Center 1,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7493,149
accommodation,7529,41.937733,12.619767,Rome,oc hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7529,189
accommodation,7536,41.852046,12.56763,Rome,Days in Rome,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7536,195
accommodation,7554,41.882007,12.509358,Rome,Dreaming Rome Hostel,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7554,196
accommodation,7574,41.907215,12.414162,Rome,Il sogno di Marina,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7574,198
accommodation,7644,41.849847,12.626899,Rome,Affittacamere  Reginella,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7644,138
accommodation,7731,41.906696,12.420392,Rome,Calcata,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7731,175
accommodation,7732,41.906696,12.420392,Rome,L'isola Che Non C'era,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7732,116
accommodation,7784,41.73822346,12.28204637,Rome,Airport Palace Hotel Ostia,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7784,126
accommodation,7832,41.919896,12.45509,Rome,Teulada Domus,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7832,177
accommodation,7895,41.87876974,12.50831873,Rome,Piazza Tuscolo 17,Resort,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7895,128
accommodation,7912,41.926616,12.463831,Rome,Almaxxi,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7912,141
accommodation,8014,41.89979891,12.45605794,Rome,Bed & Breakfast@ Alle Fornaci Roma,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8014,198
accommodation,8066,41.82772263,12.39345789,Rome,Rome Marriott Park Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8066,123
accommodation,8078,41.93521923,12.46912763,Rome,Excel Hotel MonteMario,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8078,133
accommodation,8250,41.96312619,12.31229036,Rome,Castrum Boccea,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8250,181
accommodation,8257,41.877031,12.559516,Rome,G & N Hostel,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8257,114
accommodation,8270,41.83912751,12.45933299,Rome,first Floor,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8270,163
accommodation,8278,41.93917448,12.46646762,Rome,B&B 2passi da,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8278,129
accommodation,8399,41.746638,12.321196,Rome,Dany B&B,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8399,110
accommodation,8442,41.73367797,12.2908392,Rome,Casetta mia,Housing Development,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8442,155
accommodation,8671,41.92945,12.602582,Rome,Locanda Dei Castelli,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8671,155
accommodation,8745,41.94566281,12.60651569,Rome,Villa Giuliano,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8745,102
accommodation,8768,41.91966359,12.45507265,Rome,B&B Teulada 52,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8768,174
accommodation,8781,41.89335893,12.51316918,Rome,Sunshine Hostel,Hostel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8781,144
accommodation,8809,41.73677664,12.29531694,Rome,Sea & Snow Viaggi,Travel  Transport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8809,122
accommodation,8923,41.858399,12.444463,Rome,Casa Piggy,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8923,193
accommodation,8963,41.947528,12.46586,Rome,H House,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8963,150
accommodation,9040,41.83801,12.563309,Rome,Scuola Guida Ciampino,Travel  Transport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9040,174
accommodation,9068,41.89215874,12.41787287,Rome,Easybox,Travel  Transport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9068,158
accommodation,9153,41.89329938,12.42040247,Rome,ClarHotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9153,154
accommodation,9248,41.99498485,12.41860503,Rome,Veio Residence Resort,Travel  Transport,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9248,105
accommodation,9286,41.93215,12.536165,Rome,Villa Molas,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9286,129
accommodation,9423,41.91870897,12.48443919,Rome,Oliver Glowig,Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9423,155
accommodation,9461,41.82459925,12.5618222,Rome,Hotel Giardino D'Europa,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9461,145
accommodation,9537,41.85520713,12.58920677,Rome,AmicoTravel,Tech Startup,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9537,157
accommodation,9565,41.98005446,12.42736101,Rome,prime hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9565,170
accommodation,9601,41.91648931,12.55069971,Rome,B&B Domus Tecla,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9601,111
accommodation,9714,41.90852363,12.44722979,Rome,Arches B&b,Bed  Breakfast,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9714,153
