category,id,lat,lng,location,name,subCategory,reviews,Cost
restaurant,37606,51.369827,-0.194901,London,Noodle House - Authentique Malaysian & Oriental Cafe,Malaysian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37606,109
restaurant,37613,51.483918,0.003744,London,Hidden Tea Room,Tea Room,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37613,181
restaurant,37624,51.53795613,-0.05729663,London,The Corner Cafe,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37624,171
restaurant,37640,51.50798495,-0.096344046,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37640,173
restaurant,37654,51.500803,-0.078491,London,The Kitchen,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37654,171
restaurant,37666,51.56181161,-0.281009674,London,McDonald's,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37666,119
restaurant,37669,51.51833045,-0.112223625,London,EAT.,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37669,187
restaurant,37677,51.51109291,-0.305557251,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37677,132
restaurant,37679,51.51153681,-0.075163983,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37679,114
restaurant,37683,51.51290416,-0.39013455,London,Costa Coffee,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37683,129
restaurant,37691,51.450996,-0.100603,London,Olley's,Fish  Chips Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37691,103
restaurant,37706,51.49493114,-0.1303339,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37706,165
restaurant,37717,51.45731766,-0.412079256,London,Lahore Kahari,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37717,121
restaurant,37741,51.49287044,-0.176591277,London,Rocca di Papa,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37741,187
restaurant,37746,51.3649434,-0.164629876,London,The Greyhound Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37746,184
restaurant,37757,51.494551,-0.182671,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37757,139
restaurant,37765,51.45459952,-0.319365,London,zoran's deli,Deli Bodega,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37765,138
restaurant,37772,51.49254646,-0.259750485,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37772,179
restaurant,37786,51.52505953,-0.128467083,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37786,197
restaurant,37803,51.442892,-0.115851,London,Avon Fish Bar,Fish  Chips Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37803,176
restaurant,37806,51.472718,-0.451935,London,AMT Coffee,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37806,125
restaurant,37815,51.53401458,-0.171454741,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37815,149
restaurant,37826,51.50834981,-0.101749477,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37826,142
restaurant,37831,51.52027985,-0.10351181,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37831,121
restaurant,37869,51.47540917,-0.239317417,London,Starbucks,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37869,159
restaurant,37875,51.5458102,-0.478537496,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37875,191
restaurant,37879,51.45857943,-0.166226176,London,Gail's Artisan Bakery,Breakfast Spot,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37879,124
restaurant,37880,51.44582808,-0.206430695,London,Costa coffee wimbledon,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37880,187
restaurant,37895,51.54541429,-0.162842274,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37895,193
restaurant,37897,51.52977571,-0.068750479,London,Laxeiro,Tapas Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37897,149
restaurant,37901,51.46948565,-0.027543644,London,Meze Mangal Restaurant,Turkish Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37901,158
restaurant,37942,51.426769,0.08961,London,La Botte Trattoria,Italian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37942,125
restaurant,37943,51.474846,-0.040967,London,La Boulangerie,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37943,167
restaurant,37945,51.438893,-0.24451,London,Buzz Espresso Sunbury,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37945,126
restaurant,37949,51.50214454,-0.187926292,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37949,126
restaurant,37951,51.4170285,-0.0215035,London,Paradise,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37951,156
restaurant,37955,51.51686953,-0.172545626,London,Frontline Club,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37955,111
restaurant,37966,51.53870231,-0.141416948,London,Subway,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37966,133
restaurant,37972,51.476858,-0.016652,London,North Pole Bar and Piano Restaurant,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37972,162
restaurant,38001,51.5804582,-0.099169314,London,Cafe Lemon,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38001,146
restaurant,38043,51.54137639,-0.146531375,London,Yumchaa,Tea Room,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38043,194
