category,id,lat,lng,location,name,subCategory,reviews,Cost
attraction,36914,51.438439,-0.052689,London,The Foresters,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36914,51
attraction,36915,51.515144,-0.199507,London,The Walmer Castle,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36915,55
attraction,36917,51.521599,-0.122393,London,Queen Square,Garden,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36917,39
attraction,36924,51.441344,-0.332825,London,The Alexander Pope,Hotel Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36924,42
attraction,36925,51.558523,-0.143561,London,Dartmouth Arms,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36925,31
attraction,36931,51.461173,-0.217495,London,The Railway (Wetherspoon),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36931,33
attraction,36932,51.55475,0.248469,London,Crumpled Horn (Marston's),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36932,15
attraction,36935,51.46352,-0.133274,London,Aquum,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36935,56
attraction,36936,51.562665,0.219083,London,Fatling & Firkin (TCG Taverns),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36936,32
attraction,36938,51.562932,0.21625,London,J.J. Moon's (Wetherspoon),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36938,51
attraction,36946,51.513487,-0.202807,London,Earl of Lonsdale,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36946,50
attraction,36951,51.402554,-0.187808,London,Morden Hall Park,Park,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36951,50
attraction,36952,51.591262,-0.227806,London,The Greyhound,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36952,21
attraction,36954,51.548647,0.233524,London,Optimist Tavern (Ember Inns),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36954,60
attraction,36955,51.54271,0.251967,London,Huntsman & Hounds (Ember Inns),Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36955,40
attraction,36959,51.566338,-0.136637,London,Whittington Stone Pub,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36959,54
attraction,36960,51.59475,0.022582,London,The George,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36960,55
attraction,36962,51.540248,-0.145507,London,Fifty Five Bar,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36962,17
attraction,36963,51.508235,-0.116472,London,Waterloo Bridge,Bridge,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36963,17
attraction,36968,51.539012,-0.143879,London,ODEON,Multiplex,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36968,32
attraction,36970,51.506218,-0.146904,London,The Market Tavern,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36970,25
attraction,36971,51.566975,-0.108186,London,The World's End,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36971,20
attraction,36977,51.570939,-0.14877,London,Prince of Wales,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36977,16
attraction,36978,51.570714,-0.147606,London,The Angel Inn,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36978,48
attraction,36981,51.59881,-0.137863,London,Maid of Muswell,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36981,52
attraction,36982,51.590852,-0.154698,London,The Alexandra,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36982,55
attraction,36984,51.590595,-0.155264,London,The Clissold Arms,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36984,16
attraction,36997,51.587581,-0.072332,London,Bernie Grant Arts Centre,Indie Theater,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36997,21
attraction,36998,51.522733,-0.201361,London,The Union Tavern,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36998,22
attraction,37000,51.471537,-0.355731,London,Duke of Cambridge,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37000,38
attraction,37005,51.482403,-0.306039,London,The Brewery Tap,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37005,59
attraction,37011,51.516209,-0.156818,London,Home House,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37011,43
attraction,37012,51.517129,-0.129175,London,The Bloomsbury Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37012,36
attraction,37015,51.591363,0.245175,London,FORCE FM,General Entertainment,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37015,22
attraction,37020,51.539788,-0.056086,London,The Dolphin,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37020,26
attraction,37021,51.537552,0.02943,London,discount off license,Wine Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37021,56
attraction,37024,51.569666,-0.123821,London,The Shaftesbury Tavern,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37024,19
attraction,37027,51.553993,-0.164683,London,The White Horse - NW3,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37027,43
attraction,37042,51.496604,-0.206489,London,Hilton London Olympia,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37042,27
attraction,37053,51.419817,-0.205908,London,Suburban Bar & Lounge,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37053,17
attraction,37055,51.491672,-0.255687,London,Pickwicks Wine Bar,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37055,35
attraction,37063,51.525987,-0.108987,London,Cafe Kick,Sports Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37063,57
attraction,37064,51.474971,-0.128311,London,Priory Arms,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37064,30
attraction,37073,51.510731,-0.132354,London,Waxy O'Connor's,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37073,52
attraction,37077,51.530773,-0.119948,London,The Big Chill House,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37077,39
attraction,37080,51.441704,-0.187111,London,Halfway House,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37080,19
attraction,37083,51.532972,-0.080066,London,Howl at the Moon,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37083,19
attraction,37097,51.612825,-0.176602,London,artsdepot,Theater,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37097,40
attraction,37104,51.556446,-0.179009,London,Everyman Cinema,Movie Theater,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37104,36
attraction,37108,51.574704,0.183825,London,The Goose,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37108,30
attraction,37111,51.489752,-0.122808,London,The Rose,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37111,29
attraction,37117,51.540178,-0.143523,London,The Bucks Head,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37117,47
attraction,37118,51.459429,-0.126611,London,Grand Union Brixton,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37118,49
attraction,37121,51.38815,-0.275881,London,"Elgar Avenue, Surbiton",Arcade,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37121,27
attraction,37122,51.615311,-0.001202,London,The Connaught club,Dive Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37122,50
attraction,37138,51.517203,-0.07694,London,The Pipeline,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37138,55
attraction,37149,51.542357,-0.076251,London,The Haggerston,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37149,21
attraction,37163,51.546097,-0.102102,London,Hen and Chickens,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37163,17
attraction,37167,51.485971,-0.184215,London,The Hollywood Arms,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37167,33
attraction,37169,51.444015,-0.406076,London,Leisure West,Bowling Alley,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37169,32
attraction,37178,51.4495,-0.044561,London,Stone Bar,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37178,26
attraction,37181,51.499847,-0.017467,London,Attic Bar,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37181,43
