Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,458.3694608,FALSE,2,10,99,1,4.87073,52.35964
Amsterdam,184.4257493,TRUE,2,10,98,1,4.8445,52.3638
Amsterdam,780.5872566,FALSE,4,10,100,2,4.90945,52.35598
Amsterdam,228.71605,TRUE,2,10,90,1,4.87725,52.36741
Amsterdam,221.4515033,TRUE,2,10,100,1,4.99856,52.30013
Amsterdam,385.9583343,TRUE,2,9,93,0,4.89161,52.37436
Amsterdam,436.3414806,FALSE,3,9,90,1,4.84563,52.37976
Amsterdam,626.391395,FALSE,4,10,97,2,4.90493,52.35421
Amsterdam,835.8915473,FALSE,2,10,100,1,4.89921,52.36376
Amsterdam,833.313805,FALSE,4,10,97,2,4.89712,52.35199
Amsterdam,424.1557894,FALSE,2,10,96,1,4.87076,52.36905
Amsterdam,602.2543529,FALSE,4,10,97,1,4.92428,52.36885
Amsterdam,1425.725869,FALSE,4,9,95,2,4.88385,52.37062
Amsterdam,737.2343168,FALSE,4,10,97,3,4.87451,52.36559
Amsterdam,397.2066646,FALSE,3,9,91,1,4.79949,52.37441
Amsterdam,290.1131863,TRUE,2,9,91,1,4.89462,52.35271
Amsterdam,221.2171631,TRUE,2,9,95,1,4.85705,52.37046
Amsterdam,245.8228857,TRUE,2,10,98,1,4.81,52.354
Amsterdam,196.6114405,TRUE,2,8,87,1,4.98757,52.29921
Amsterdam,258.0085769,TRUE,2,10,100,1,4.93428,52.40601
Amsterdam,1413.305837,TRUE,4,10,95,4,4.86924,52.35582
Amsterdam,479.4600801,FALSE,2,9,95,1,4.87274,52.33217
Amsterdam,920.488365,FALSE,4,10,99,3,4.89033,52.38252
Amsterdam,622.8762918,FALSE,2,10,98,1,4.86941,52.36713
Amsterdam,317.0623111,TRUE,2,10,95,1,4.89065,52.37835
Amsterdam,344.245776,FALSE,3,9,85,0,4.96965,52.37392
Amsterdam,409.3923558,FALSE,4,9,91,2,4.93202,52.37105
Amsterdam,282.6142994,TRUE,2,10,98,1,4.86847,52.36101
Amsterdam,319.6400534,TRUE,2,9,94,1,4.89887,52.37351
Amsterdam,290.1131863,TRUE,2,8,82,1,4.92354,52.36633
Amsterdam,381.0371898,TRUE,2,10,91,1,4.894,52.38
Amsterdam,276.5214538,TRUE,2,10,94,1,4.81305,52.35239
Amsterdam,811.0514845,FALSE,2,10,98,1,4.89677,52.36104
Amsterdam,1106.320156,FALSE,2,10,99,1,4.88194,52.36714
Amsterdam,435.1697795,FALSE,2,10,93,1,4.88971,52.35056
Amsterdam,381.0371898,TRUE,2,10,98,1,4.903,52.364
Amsterdam,513.6737516,FALSE,3,10,100,2,4.93831,52.37689
Amsterdam,309.7977644,TRUE,2,10,93,1,4.86389,52.36165
Amsterdam,516.0171537,FALSE,4,9,91,2,4.87977,52.36623
Amsterdam,614.4400441,TRUE,4,10,92,1,4.89268,52.36092
